zip,lat,long,city,state,county
98649,46.295605,-122.647696,Toutle,WA,
98650,45.982789,-121.516272,Trout Lake,WA,
98651,45.740872,-121.597408,Underwood,WA,
98660,45.64183,-122.68014,Vancouver,WA,
98661,45.641807,-122.625146,Vancouver,WA,
98662,45.674519,-122.576182,Orchards,WA,
98663,45.6514,-122.660385,Vancouver,WA,
98664,45.623086,-122.576741,Vancouver,WA,
98665,45.68217,-122.664223,Hazel Dell,WA,
98670,45.815567,-121.148586,Wahkiacus,WA,
98671,45.595921,-122.310396,Washougal,WA,
98672,45.755142,-121.479459,White Salmon,WA,
98674,45.921859,-122.71256,Woodland,WA,
98675,45.862247,-122.427545,Yacolt,WA,
98682,45.664399,-122.521224,Vancouver,WA,
98684,45.617522,-122.524969,Cascade Park,WA,
98685,45.707313,-122.682474,Felida,WA,
98686,45.712017,-122.632226,Vancouver,WA,
98801,47.425269,-120.327345,Wenatchee,WA,
98802,47.418596,-120.273136,East Wenatchee,WA,
98812,48.120641,-119.771999,Brewster,WA,
98813,48.016083,-119.702772,Bridgeport,WA,
98814,48.252615,-120.10551,Carlton,WA,
98815,47.517293,-120.503274,Cashmere,WA,
98816,47.848263,-120.027306,Chelan,WA,
98822,47.705653,-120.276031,Entiat,WA,
98823,47.277051,-119.533582,Ephrata,WA,
98826,47.6438,-120.674792,Leavenworth,WA,
98827,48.869627,-119.642675,Loomis,WA,
98828,47.355306,-120.208562,Malaga,WA,
98830,47.902136,-119.405315,Mansfield,WA,
98831,47.895764,-120.148963,Manson,WA,
98832,47.320929,-119.090897,Marlin,WA,
98833,48.597728,-120.38796,Mazama,WA,
98834,48.09001,-120.0059,Methow,WA,
98837,47.137363,-119.289149,Moses Lake,WA,
98840,48.351328,-119.604563,Okanogan,WA,
98841,48.414347,-119.527156,Omak,WA,
98843,47.696928,-120.172143,Orondo,WA,
98844,48.939681,-119.403236,Oroville,WA,
98845,47.469367,-119.802264,Palisades,WA,
98846,48.059147,-119.913322,Pateros,WA,
98847,47.581294,-120.613928,Peshastin,WA,
98848,47.197574,-119.845922,Quincy,WA,
98849,48.487567,-119.580316,Riverside,WA,
98850,47.370558,-120.137794,Rock Island,WA,
98851,47.383034,-119.485962,Soap Lake,WA,
98852,48.298034,-120.755185,Stehekin,WA,
98855,48.71944,-119.394252,Tonasket,WA,
98856,48.363231,-120.135035,Twisp,WA,
98857,46.97697,-119.053932,Warden,WA,
98858,47.62951,-119.988743,Waterville,WA,
98859,48.822449,-118.946947,Wauconda,WA,
98862,48.475607,-120.180468,Winthrop,WA,
98901,46.606991,-120.477336,Terrace Heights,WA,
98902,46.593393,-120.531084,Yakima,WA,
98903,46.5572,-120.556587,Union Gap,WA,
98908,46.605865,-120.605175,Wide Hollow,WA,
98922,47.206319,-120.968505,Cle Elum,WA,
98923,46.66611,-120.714893,Cowiche,WA,
98926,46.999632,-120.516274,Ellensburg,WA,
98930,46.253846,-119.915734,Grandview,WA,
98932,46.348045,-120.181848,Granger,WA,
98933,46.410383,-120.573606,Harrah,WA,
98935,46.212082,-120.015141,Mabton,WA,
98936,46.554205,-120.368463,Moxee,WA,
98937,46.735335,-120.826699,White Pass,WA,
98938,46.352497,-120.097005,Outlook,WA,
98942,46.67671,-120.540813,Selah,WA,
98944,46.321273,-120.012631,Sunnyside,WA,
98946,47.017785,-120.678557,Thorp,WA,
98947,46.706331,-120.747275,Tieton,WA,
98948,46.375123,-120.330534,Toppenish,WA,
98951,46.45066,-120.426484,Wapato,WA,
98952,46.371558,-120.745317,White Swan,WA,
98953,46.415777,-120.266161,Zillah,WA,
99003,47.919178,-117.29209,Chattaroy,WA,
99004,47.494257,-117.583372,Cheney,WA,
99005,47.841093,-117.375895,Colbert,WA,
99006,47.948615,-117.443559,Deer Park,WA,
99008,47.537896,-117.907095,Edwall,WA,
99009,48.020523,-117.296253,Elk,WA,
99011,47.613068,-117.643746,Fairchild Air Fo,WA,
99012,47.398726,-117.192054,Fairfield,WA,
99013,47.916873,-117.811858,Ford,WA,
99016,47.658357,-117.156801,Greenacres,WA,
